numer_klienta|typ|nazwa1|nazwa2|data
1696558||nan|nan|
1649656||nan|nan|
1390661||nan|nan|
1941986||nan|nan|
1495820||nan|nan|
1783591||nan|nan|
1871203||nan|nan|
1842967||nan|nan|
1126990||nan|nan|
1902910||nan|nan|
1852541||nan|nan|
1603511||nan|nan|
1402396||nan|nan|
1283547||nan|nan|
1649605||nan|nan|
1559985||nan|nan|
1745114||nan|nan|
1919276||nan|nan|
1562874||nan|nan|
1478134||nan|nan|
1953092||nan|nan|
1954529||nan|nan|
1340926||nan|nan|
1604120||nan|nan|
1046949||nan|nan|
1756013||nan|nan|
1685263||nan|nan|
1284944||nan|nan|
1485935||nan|nan|
1280095||nan|nan|
1811491||nan|nan|
1334436||nan|nan|
1148473||nan|nan|
1901742||nan|nan|
1358227||nan|nan|
1075159||nan|nan|
1888546||nan|nan|
1042259||nan|nan|
1624122||nan|nan|
1595729||nan|nan|
1694965||nan|nan|
1614121||nan|nan|
1935725||nan|nan|
1951960||nan|nan|
1986431||nan|nan|
1193897||nan|nan|
1327339||nan|nan|
1459977||nan|nan|
1578639||nan|nan|
1423071||nan|nan|
1678494||nan|nan|
1742966||nan|nan|
1128934||nan|nan|
1671567||nan|nan|
1188040||nan|nan|
1597698||nan|nan|
1056919||nan|nan|
1535321||nan|nan|
1427927||nan|nan|
1718751||nan|nan|
1393321||nan|nan|
1765415||nan|nan|
1321186||nan|nan|
1344384||nan|nan|
1769980||nan|nan|
1507994||nan|nan|
1422977||nan|nan|
1215377||nan|nan|
1199234||nan|nan|
1124170||nan|nan|
1342284||nan|nan|
1152459||nan|nan|
1031330||nan|nan|
1292186||nan|nan|
1671606||nan|nan|
1136971||nan|nan|
1245657||nan|nan|
1704479||nan|nan|
1649944||nan|nan|
1447286||nan|nan|
1114343||nan|nan|
1729449||nan|nan|
1081076||nan|nan|
1129200||nan|nan|
1384264||nan|nan|
1622971||nan|nan|
1288702||nan|nan|
1798329||nan|nan|
1536477||nan|nan|
2005000||nan|nan|
1303658||nan|nan|
1794613||nan|nan|
1351462||nan|nan|
1899011||nan|nan|
1803072||nan|nan|
1096371||nan|nan|
1148585||nan|nan|
1557050||nan|nan|
1589244||nan|nan|
1817882||nan|nan|
1231499||nan|nan|
1568368||nan|nan|
1134183||nan|nan|
1251524||nan|nan|
1251524||nan|nan|
2014091||nan|nan|
1154201||nan|nan|
1981240||nan|nan|
1758539||nan|nan|
1769880||nan|nan|
1752656||nan|nan|
1548288||nan|nan|
1100131||nan|nan|
1217785||nan|nan|
1108005||nan|nan|
1699019||nan|nan|
1226148||nan|nan|
1894517||nan|nan|
1184309||nan|nan|
1554443||nan|nan|
1380697||nan|nan|
1696515||nan|nan|
1783293||nan|nan|
1090623||nan|nan|
1484258||nan|nan|
1279531||nan|nan|
1417478||nan|nan|
1095276||nan|nan|
1959380||nan|nan|
1708399||nan|nan|
1692082||nan|nan|
1837104||nan|nan|
1421343||nan|nan|
1071934||nan|nan|
1278785||nan|nan|
1600585||nan|nan|
1959339||nan|nan|
1940442||nan|nan|
1773450||nan|nan|
1598565||nan|nan|
1763334||nan|nan|
1256035||nan|nan|
1737685||nan|nan|
1134404||nan|nan|
1497635||nan|nan|
1361324||nan|nan|
1979526||nan|nan|
1329780||nan|nan|
1039681||nan|nan|
1338048||nan|nan|
1443597||nan|nan|
1468702||nan|nan|
1239678||nan|nan|
1395428||nan|nan|
1711263||nan|nan|
1892225||nan|nan|
1481108||nan|nan|
1040727||nan|nan|
1105302||nan|nan|
1331044||nan|nan|
1269611||nan|nan|
1155322||nan|nan|
1535728||nan|nan|
1939557||nan|nan|
1435869||nan|nan|
1496171||nan|nan|
1173772||nan|nan|
1905961||nan|nan|
1130077||nan|nan|
1313190||nan|nan|
1517771||nan|nan|
1626468||nan|nan|
1821880||nan|nan|
1929342||nan|nan|
1774732||nan|nan|
1562256||nan|nan|
1556411||nan|nan|
1943648||nan|nan|
1144341||nan|nan|
1270205||nan|nan|
1580511||nan|nan|
1711351||nan|nan|
1599094||nan|nan|
1432870||nan|nan|
1021715||nan|nan|
1985713||nan|nan|
1613120||nan|nan|
1669727||nan|nan|
1605075||nan|nan|
1320751||nan|nan|
1289919||nan|nan|
1770583||nan|nan|
1941527||nan|nan|
1835516||nan|nan|
1358894||nan|nan|
1584394||nan|nan|
1678867||nan|nan|
1206743||nan|nan|
1697835||nan|nan|
1975017||nan|nan|
1533647||nan|nan|
1232676||nan|nan|
1460022||nan|nan|
1330425||nan|nan|
1899975||nan|nan|
1263380||nan|nan|
1299955||nan|nan|
1077223||nan|nan|
1358432||nan|nan|
1049012||nan|nan|
1916147||nan|nan|
1844627||nan|nan|
1852448||nan|nan|
1542493||nan|nan|
1511362||nan|nan|
1890800||nan|nan|
1673305||nan|nan|
1039488||nan|nan|
1633779||nan|nan|
1591630||nan|nan|
1896185||nan|nan|
1189785||nan|nan|
1535689||nan|nan|
1047628||nan|nan|
1201508||nan|nan|
1830019||nan|nan|
1424515||nan|nan|
1933500||nan|nan|
1599297||nan|nan|
1703846||nan|nan|
1366196||nan|nan|
2002809||nan|nan|
1909628||nan|nan|
1227376||nan|nan|
1261374||nan|nan|
1210521||nan|nan|
1841581||nan|nan|
1025952||nan|nan|
1685513||nan|nan|
1500151||nan|nan|
1484250||nan|nan|
1602516||nan|nan|
1493819||nan|nan|
1479281||nan|nan|
1451155||nan|nan|
1725944||nan|nan|
1492470||nan|nan|
1300308||nan|nan|
1055941||nan|nan|
1951470||nan|nan|
1843064||nan|nan|
1646571||nan|nan|
1592913||nan|nan|
1331647||nan|nan|
1312974||nan|nan|
1518030||nan|nan|
1517043||nan|nan|
1492419||nan|nan|
1260181||nan|nan|
1110266||nan|nan|
1876989||nan|nan|
1350231||nan|nan|
1789671||nan|nan|
1642660||nan|nan|
1286940||nan|nan|
1916739||nan|nan|
1437895||nan|nan|
1424144||nan|nan|
1604894||nan|nan|
1045726||nan|nan|
1058943||nan|nan|
1852274||nan|nan|
1981843||nan|nan|
1979985||nan|nan|
1181376||nan|nan|
1304075||nan|nan|
1272843||nan|nan|
1057347||nan|nan|
1989264||nan|nan|
1409557||nan|nan|
1253636||nan|nan|
1148235||nan|nan|
1360422||nan|nan|
1899184||nan|nan|
1522009||nan|nan|
2003268||nan|nan|
1456227||nan|nan|
1573725||nan|nan|
1463528||nan|nan|
1150475||nan|nan|
1105079||nan|nan|
1414458||nan|nan|
1319633||nan|nan|
1861942||nan|nan|
1170611||nan|nan|
1558982||nan|nan|
1995074||nan|nan|
1307767||nan|nan|
1792434||nan|nan|
1191182||nan|nan|
1345843||nan|nan|
1775062||nan|nan|
1500383||nan|nan|
1661344||nan|nan|
1142908||nan|nan|
1325976||nan|nan|
1989559||nan|nan|
1107322||nan|nan|
1034581||nan|nan|
1927822||nan|nan|
1641853||nan|nan|
1488545||nan|nan|
1942955||nan|nan|
1328444||nan|nan|
1309010||nan|nan|
1309010||nan|nan|
1044742||nan|nan|
1539145||nan|nan|
1803574||nan|nan|
2008503||nan|nan|
1079834||nan|nan|
1996581||nan|nan|
1132763||nan|nan|
1399579||nan|nan|
1267614||nan|nan|
1459873||nan|nan|
1694235||nan|nan|
1942608||nan|nan|
1429040||nan|nan|
1349117||nan|nan|
1982129||nan|nan|
1593641||nan|nan|
1841165||nan|nan|
1157339||nan|nan|
1091193||nan|nan|
1836705||nan|nan|
1314062||nan|nan|
1241201||nan|nan|
1950756||nan|nan|
1637544||nan|nan|
1928898||nan|nan|
1626170||nan|nan|
1688442||nan|nan|
1929182||nan|nan|
1360916||nan|nan|
1629084||nan|nan|
1629084||nan|nan|
1332527||nan|nan|
1608047||nan|nan|
1118398||nan|nan|
1214477||nan|nan|
1487308||nan|nan|
1277138||nan|nan|
1991091||nan|nan|
1033210||nan|nan|
1091111||nan|nan|
1530022||nan|nan|
1202904||nan|nan|
1973801||nan|nan|
1780297||nan|nan|
1068945||nan|nan|
1065082||nan|nan|
1184927||nan|nan|
1951860||nan|nan|
1096889||nan|nan|
1376420||nan|nan|
1094132||nan|nan|
1084133||nan|nan|
1299151||nan|nan|
1906797||nan|nan|
1861514||nan|nan|
1841800||nan|nan|
1570944||nan|nan|
1499351||nan|nan|
1194219||nan|nan|
1198527||nan|nan|
1742877||nan|nan|
1254872||nan|nan|
1903578||nan|nan|
1702345||nan|nan|
1024254||nan|nan|
1588999||nan|nan|
1395879||nan|nan|
1048392||nan|nan|
1941829||nan|nan|
1276577||nan|nan|
1035036||nan|nan|
1340533||nan|nan|
1252907||nan|nan|
1971087||nan|nan|
1846902||nan|nan|
2014548||nan|nan|
1229330||nan|nan|
1399288||nan|nan|
1128351||nan|nan|
1818258||nan|nan|
1240542||nan|nan|
2003715||nan|nan|
1423989||nan|nan|
1998903||nan|nan|
1779058||nan|nan|
1038177||nan|nan|
1686839||nan|nan|
1216223||nan|nan|
1590869||nan|nan|
1496002||nan|nan|
1163581||nan|nan|
1511126||nan|nan|
1534314||nan|nan|
1064141||nan|nan|
1618222||nan|nan|
1610175||nan|nan|
1301380||nan|nan|
1832629||nan|nan|
1934986||nan|nan|
1065998||nan|nan|
1060183||nan|nan|
1565721||nan|nan|
1552543||nan|nan|
1219488||nan|nan|
1834981||nan|nan|
1242134||nan|nan|
1873376||nan|nan|
1949035||nan|nan|
1501352||nan|nan|
1696056||nan|nan|
1477049||nan|nan|
1142642||nan|nan|
1566674||nan|nan|
1731295||nan|nan|
1104704||nan|nan|
1538842||nan|nan|
1999636||nan|nan|
1694713||nan|nan|
1425447||nan|nan|
1487546||nan|nan|
1882832||nan|nan|
1533523||nan|nan|
1860808||nan|nan|
1376275||nan|nan|
1201493||nan|nan|
1589991||nan|nan|
1265218||nan|nan|
1893827||nan|nan|
1949168||nan|nan|
1057013||nan|nan|
1778469||nan|nan|
1171349||nan|nan|
1336825||nan|nan|
1465181||nan|nan|
1679015||nan|nan|
1383257||nan|nan|
1213037||nan|nan|
1894942||nan|nan|
1356566||nan|nan|
1927706||nan|nan|
1630966||nan|nan|
1731337||nan|nan|
1116447||nan|nan|
1517065||nan|nan|
1573466||nan|nan|
1391850||nan|nan|
1232589||nan|nan|
1060307||nan|nan|
1272642||nan|nan|
1897043||nan|nan|
1996134||nan|nan|
1915086||nan|nan|
2004057||nan|nan|
1648155||nan|nan|
1471868||nan|nan|
1427285||nan|nan|
1124076||nan|nan|
1598271||nan|nan|
1679563||nan|nan|
1679563||nan|nan|
1775461||nan|nan|
1887499||nan|nan|
1956053||nan|nan|
1680680||nan|nan|
1801994||nan|nan|
1894790||nan|nan|
1097351||nan|nan|
1289083||nan|nan|
1161501||nan|nan|
1768458||nan|nan|
1725107||nan|nan|
1546429||nan|nan|
1259481||nan|nan|
1975871||nan|nan|
1941863||nan|nan|
1930250||nan|nan|
1297469||nan|nan|
1076077||nan|nan|
1888656||nan|nan|
1555478||nan|nan|
1024369||nan|nan|
1542128||nan|nan|
1809906||nan|nan|
1338068||nan|nan|
2009410||nan|nan|
1546278||nan|nan|
1259815||nan|nan|
1975849||nan|nan|
1539949||nan|nan|
1216019||nan|nan|
1971417||nan|nan|
1690918||nan|nan|
1279773||nan|nan|
1183502||nan|nan|
1169245||nan|nan|
1562316||nan|nan|
1304826||nan|nan|
1275156||nan|nan|
1514823||nan|nan|
1227287||nan|nan|
1021735||nan|nan|
2009477||nan|nan|
1398708||nan|nan|
1320480||nan|nan|
1387684||nan|nan|
1277389||nan|nan|
1880631||nan|nan|
1117008||nan|nan|
1950874||nan|nan|
1061154||nan|nan|
1730375||nan|nan|
1430433||nan|nan|
1855297||nan|nan|
1781283||nan|nan|
1656347||nan|nan|
1559137||nan|nan|
1187593||nan|nan|
1447477||nan|nan|
1318155||nan|nan|
1214368||nan|nan|
1441979||nan|nan|
1366336||nan|nan|
1236657||nan|nan|
1024989||nan|nan|
1386423||nan|nan|
1465848||nan|nan|
1239216||nan|nan|
1642384||nan|nan|
2011830||nan|nan|
1211181||nan|nan|
1575839||nan|nan|
1858022||nan|nan|
1788756||nan|nan|
1182772||nan|nan|
1576905||nan|nan|
1075362||nan|nan|
1307069||nan|nan|
1976728||nan|nan|
1348576||nan|nan|
1791581||nan|nan|
1560600||nan|nan|
1021017||nan|nan|
1383016||nan|nan|
1423422||nan|nan|
1544655||nan|nan|
1706287||nan|nan|
1470834||nan|nan|
1398257||nan|nan|
1052194||nan|nan|
1632865||nan|nan|
1793071||nan|nan|
1850263||nan|nan|
1460818||nan|nan|
1236014||nan|nan|
1511053||nan|nan|
1205170||nan|nan|
1022362||nan|nan|
1026136||nan|nan|
1586344||nan|nan|
1554998||nan|nan|
1462283||nan|nan|
1821456||nan|nan|
2002160||nan|nan|
1983082||nan|nan|
1210445||nan|nan|
1732334||nan|nan|
1648036||nan|nan|
1311788||nan|nan|
1320590||nan|nan|
1399499||nan|nan|
1120159||nan|nan|
1546952||nan|nan|
1670264||nan|nan|
1372417||nan|nan|
1059476||nan|nan|
1738637||nan|nan|
1780724||nan|nan|
2001333||nan|nan|
1849236||nan|nan|
1379891||nan|nan|
1693835||nan|nan|
1578964||nan|nan|
1925856||nan|nan|
1787256||nan|nan|
1829762||nan|nan|
1920070||nan|nan|
1961421||nan|nan|
1438664||nan|nan|
1454297||nan|nan|
1837818||nan|nan|
1664539||nan|nan|
1248647||nan|nan|
1883730||nan|nan|
1793838||nan|nan|
1944552||nan|nan|
1351281||nan|nan|
1754087||nan|nan|
1975677||nan|nan|
1472259||nan|nan|
1744668||nan|nan|
1416699||nan|nan|
1435146||nan|nan|
1474476||nan|nan|
1904314||nan|nan|
1693680||nan|nan|
1804201||nan|nan|
1069912||nan|nan|
1147384||nan|nan|
1338370||nan|nan|
1615868||nan|nan|
1227544||nan|nan|
1465779||nan|nan|
1590706||nan|nan|
1193577||nan|nan|
1205147||nan|nan|
1220929||nan|nan|
1415863||nan|nan|
1578543||nan|nan|
1188711||nan|nan|
1470197||nan|nan|
1719194||nan|nan|
1826925||nan|nan|
1761670||nan|nan|
1283319||nan|nan|
1798580||nan|nan|
1017733|Z|Tomczyk|Marian|09-03-1986
1556261||nan|nan|
1455973||nan|nan|
2001558||nan|nan|
1361145||nan|nan|
1071714||nan|nan|
1642172||nan|nan|
1778736||nan|nan|
1268147||nan|nan|
1851121||nan|nan|
1887140||nan|nan|
1162719||nan|nan|
1730145||nan|nan|
1980451||nan|nan|
1415010||nan|nan|
1894702||nan|nan|
1192549||nan|nan|
1873694||nan|nan|
1962991||nan|nan|
1840780||nan|nan|
1659797||nan|nan|
1319870||nan|nan|
1554237||nan|nan|
1354827||nan|nan|
1380987||nan|nan|
1411310||nan|nan|
1733651||nan|nan|
1750301||nan|nan|
1420820||nan|nan|
1966954||nan|nan|
1958892||nan|nan|
1305166||nan|nan|
1879904||nan|nan|
1445468||nan|nan|
1290271||nan|nan|
1421834||nan|nan|
1679917||nan|nan|
1610729||nan|nan|
1610729||nan|nan|
1998652||nan|nan|
1205964||nan|nan|
1249731||nan|nan|
1111462||nan|nan|
1205478||nan|nan|
1160950||nan|nan|
1776507||nan|nan|
1384185||nan|nan|
1604260||nan|nan|
1561622||nan|nan|
1150248||nan|nan|
1077157||nan|nan|
1424567||nan|nan|
1664102||nan|nan|
1667629||nan|nan|
1078058||nan|nan|
1228616||nan|nan|
1153467||nan|nan|
1177929||nan|nan|
1874911||nan|nan|
1251721||nan|nan|
1737641||nan|nan|
1657259||nan|nan|
1286177||nan|nan|
1996371||nan|nan|
1774061||nan|nan|
1623031||nan|nan|
2009098||nan|nan|
1104854||nan|nan|
1809761||nan|nan|
1991274||nan|nan|
1830545||nan|nan|
1420728||nan|nan|
1808511||nan|nan|
1704770||nan|nan|
1645275||nan|nan|
1826242||nan|nan|
1664133||nan|nan|
1903212||nan|nan|
1020818||nan|nan|
1769229||nan|nan|
1090550||nan|nan|
1563079||nan|nan|
1123599||nan|nan|
1716083||nan|nan|
1500887||nan|nan|
1817054||nan|nan|
1880081||nan|nan|
1599578||nan|nan|
1498632||nan|nan|
1892543||nan|nan|
1469081||nan|nan|
1740073||nan|nan|
1092051||nan|nan|
1903989||nan|nan|
1964077||nan|nan|
1966232||nan|nan|
1032563||nan|nan|
1890507||nan|nan|
1206314||nan|nan|
1187839||nan|nan|
1515892||nan|nan|
1520907||nan|nan|
1770283||nan|nan|
1880433||nan|nan|
1111992||nan|nan|
1456303||nan|nan|
1768470||nan|nan|
1604371||nan|nan|
1628210||nan|nan|
2001827||nan|nan|
1058920||nan|nan|
1717077||nan|nan|
1690442||nan|nan|
1835083||nan|nan|
1282578||nan|nan|
1456867||nan|nan|
1715895||nan|nan|
2008946||nan|nan|
1185330||nan|nan|
1634108||nan|nan|
1662102||nan|nan|
1278832||nan|nan|
1271097||nan|nan|
1881128||nan|nan|
1493751||nan|nan|
1280977||nan|nan|
1680701||nan|nan|
1680701||nan|nan|
1792185||nan|nan|
1102518||nan|nan|
1112798||nan|nan|
1658667||nan|nan|
1089364||nan|nan|
1089364||nan|nan|
1258360||nan|nan|
1046361||nan|nan|
1739600||nan|nan|
1718817||nan|nan|
1897325||nan|nan|
1461520||nan|nan|
1881355||nan|nan|
1643839||nan|nan|
1757681||nan|nan|
1948985||nan|nan|
1323132||nan|nan|
1478277||nan|nan|
1774692||nan|nan|
1153866||nan|nan|
1648119||nan|nan|
1925945||nan|nan|
1103706||nan|nan|
1243292||nan|nan|
1508750||nan|nan|
1319102||nan|nan|
2000591||nan|nan|
1148450||nan|nan|
1544446||nan|nan|
1301457||nan|nan|
1628595||nan|nan|
1792159||nan|nan|
1506832||nan|nan|
1218663||nan|nan|
1123918||nan|nan|
1178535||nan|nan|
1211854||nan|nan|
1181761||nan|nan|
1606534||nan|nan|
1245919||nan|nan|
1163218||nan|nan|
1672581||nan|nan|
1919673||nan|nan|
1179765||nan|nan|
2001159||nan|nan|
1068716||nan|nan|
1877495||nan|nan|
1316272||nan|nan|
2000701||nan|nan|
1383575||nan|nan|
1026667||nan|nan|
1038817||nan|nan|
1222188||nan|nan|
1743841||nan|nan|
1084071||nan|nan|
1098329||nan|nan|
1162258||nan|nan|
1930847||nan|nan|
1766445||nan|nan|
1852717||nan|nan|
1809743||nan|nan|
1296462||nan|nan|
1750683||nan|nan|
1598800||nan|nan|
1507419||nan|nan|
1307816||nan|nan|
1815414||nan|nan|
1274900||nan|nan|
1457582||nan|nan|
1299557||nan|nan|
1602517||nan|nan|
1529875||nan|nan|
1835346||nan|nan|
1636526||nan|nan|
1636526||nan|nan|
1087426||nan|nan|
1825329||nan|nan|
1274812||nan|nan|
1933104||nan|nan|
1455941||nan|nan|
1577825||nan|nan|
1562559||nan|nan|
1466951||nan|nan|
1751458||nan|nan|
1789193||nan|nan|
1253829||nan|nan|
1486003||nan|nan|
1226771||nan|nan|
1318931||nan|nan|
1414466||nan|nan|
1414466||nan|nan|
1307308||nan|nan|
1265235||nan|nan|
1169932||nan|nan|
1909040||nan|nan|
1565587||nan|nan|
1809224||nan|nan|
1772084||nan|nan|
1530745||nan|nan|
1156966||nan|nan|
1741859||nan|nan|
1994671||nan|nan|
1920035||nan|nan|
1351208||nan|nan|
1183791||nan|nan|
1735780||nan|nan|
1920263||nan|nan|
1574112||nan|nan|
1996791||nan|nan|
1414121||nan|nan|
1370187||nan|nan|
1499925||nan|nan|
1448909||nan|nan|
1368261||nan|nan|
1538960||nan|nan|
1363424||nan|nan|
1258910||nan|nan|
1527860||nan|nan|
1845397||nan|nan|
1300449||nan|nan|
1730001||nan|nan|
1144086||nan|nan|
1241354||nan|nan|
1103981||nan|nan|
1277338||nan|nan|
1295100||nan|nan|
1593706||nan|nan|
1548996||nan|nan|
1261810||nan|nan|
1382058||nan|nan|
1528009||nan|nan|
1442439||nan|nan|
1193808||nan|nan|
1022792||nan|nan|
1567826||nan|nan|
1822178||nan|nan|
1856080||nan|nan|
1277619||nan|nan|
1288952||nan|nan|
1992477||nan|nan|
1402514||nan|nan|
2003819||nan|nan|
1625323||nan|nan|
1380650||nan|nan|
1677396||nan|nan|
1528101||nan|nan|
1813233||nan|nan|
1140307||nan|nan|
1624553||nan|nan|
1114764||nan|nan|
1086984||nan|nan|
1558955||nan|nan|
1984222||nan|nan|
1169550||nan|nan|
1287398||nan|nan|
1563857||nan|nan|
1564822||nan|nan|
1716514||nan|nan|
1386031||nan|nan|
1998685||nan|nan|
1975818||nan|nan|
1182944||nan|nan|
1940168||nan|nan|
1787971||nan|nan|
1923707||nan|nan|
1877920||nan|nan|
1683679||nan|nan|
1683679||nan|nan|
1487119||nan|nan|
1445914||nan|nan|
1616598||nan|nan|
1188563||nan|nan|
1095284||nan|nan|
1634971||nan|nan|
1617462||nan|nan|
1197670||nan|nan|
1863297||nan|nan|
1578694||nan|nan|
1370658||nan|nan|
1357944||nan|nan|
1634731||nan|nan|
1930856||nan|nan|
1829712||nan|nan|
1987626||nan|nan|
1068804||nan|nan|
1986217||nan|nan|
1378862||nan|nan|
1857104||nan|nan|
1523527||nan|nan|
1412995||nan|nan|
1910449||nan|nan|
1327918||nan|nan|
1318650||nan|nan|
1275915||nan|nan|
1527551||nan|nan|
1467342||nan|nan|
1839320||nan|nan|
1417118||nan|nan|
1317576||nan|nan|
1188873||nan|nan|
1136165||nan|nan|
1678986||nan|nan|
1955636||nan|nan|
1367657||nan|nan|
1470763||nan|nan|
1471215||nan|nan|
1040838||nan|nan|
1424529||nan|nan|
1724291||nan|nan|
1826814||nan|nan|
1593734||nan|nan|
1459775||nan|nan|
1335000||nan|nan|
1337564||nan|nan|
2010280||nan|nan|
1837412||nan|nan|
1714607||nan|nan|
1475896||nan|nan|
1663044||nan|nan|
1146975||nan|nan|
1171944||nan|nan|
1065194||nan|nan|
1354727||nan|nan|
1917651||nan|nan|
1921031||nan|nan|
1203903||nan|nan|
1526943||nan|nan|
1530730||nan|nan|
1029084||nan|nan|
1380855||nan|nan|
1229760||nan|nan|
1664595||nan|nan|
1800251||nan|nan|
1968466||nan|nan|
1422514||nan|nan|
1548619||nan|nan|
1050125||nan|nan|
1625370||nan|nan|
1686364||nan|nan|
1338632||nan|nan|
1523443||nan|nan|
1281513||nan|nan|
1335877||nan|nan|
1541452||nan|nan|
1497414||nan|nan|
1405246||nan|nan|
1870434||nan|nan|
1378042||nan|nan|
1602512||nan|nan|
1593059||nan|nan|
1098564||nan|nan|
1616632||nan|nan|
1449299||nan|nan|
1882925||nan|nan|
1755095||nan|nan|
1936235||nan|nan|
1326621||nan|nan|
1329380||nan|nan|
1971850||nan|nan|
1641209||nan|nan|
1341722||nan|nan|
1828547||nan|nan|
1638903||nan|nan|
1764123||nan|nan|
1773211||nan|nan|
1701474||nan|nan|
1902319||nan|nan|
1674458||nan|nan|
1331426||nan|nan|
1876033||nan|nan|
1758569||nan|nan|
1845376||nan|nan|
1744504||nan|nan|
1864554||nan|nan|
1016134|Z|Kaczmarek|Waldemar|01-11-1910
1203533||nan|nan|
1410443||nan|nan|
1561993||nan|nan|
1832634||nan|nan|
1365625||nan|nan|
1671489||nan|nan|
1018946|E|Walczak|Honorata|08-03-1975
1846232||nan|nan|
1372958||nan|nan|
1066080||nan|nan|
1066080||nan|nan|
1564976||nan|nan|
1435902||nan|nan|
1246999||nan|nan|
1264493||nan|nan|
1961111||nan|nan|
1121532||nan|nan|
1626625||nan|nan|
1258850||nan|nan|
1960107||nan|nan|
1421727||nan|nan|
1632289||nan|nan|
1449786||nan|nan|
1461325||nan|nan|
1116232||nan|nan|
1112736||nan|nan|
1944885||nan|nan|
1684656||nan|nan|
1688703||nan|nan|
1287532||nan|nan|
1548686||nan|nan|
1413844||nan|nan|
1704831||nan|nan|
1322508||nan|nan|
1022940||nan|nan|
1429226||nan|nan|
1760403||nan|nan|
1191803||nan|nan|
1732606||nan|nan|
1675434||nan|nan|
1842200||nan|nan|
1508096||nan|nan|
1602493||nan|nan|
1035877||nan|nan|
1342027||nan|nan|
1519267||nan|nan|
1412438||nan|nan|
1038567||nan|nan|
1193601||nan|nan|
1687561||nan|nan|
1784413||nan|nan|
1362558||nan|nan|
1954248||nan|nan|
1079618||nan|nan|
1407688||nan|nan|
1907625||nan|nan|
1434815||nan|nan|
1927669||nan|nan|
1994103||nan|nan|
1495859||nan|nan|
1970381||nan|nan|
1412277||nan|nan|
1974112||nan|nan|
1239952||nan|nan|
1416958||nan|nan|
1225203||nan|nan|
1100318||nan|nan|
1182002||nan|nan|
1889593||nan|nan|
1375119||nan|nan|
1364389||nan|nan|
1725820||nan|nan|
1629230||nan|nan|
1901136||nan|nan|
2007152||nan|nan|
1389957||nan|nan|
1026329||nan|nan|
1436948||nan|nan|
1890714||nan|nan|
1023771||nan|nan|
1790452||nan|nan|
